"row_number","animal_name","animal_gender","animal_birth_month","breed_rc","borough","zip_code","community_district","census_tract2010","nta","city_council_district","congressional_district","state_senatorial_district","license_issued_date","license_expired_date"
79004,"Chewy","F",2010-06-01,"Labrador (or Crossbreed)","Manhattan",10023,107,161,"MN12",6,10,29,2016-06-10,2017-10-18
79005,"Hunter","M",2010-06-01,"Labrador (or Crossbreed)","Staten Island",10314,502,29104,"SI05",50,11,24,2016-06-10,2017-06-10
79006,"Howard","M",2013-11-01,"Maltese","Queens",11373,404,26902,"QN29",25,6,16,2016-06-10,2017-08-05
79007,"Chanel","F",2009-01-01,"Unknown","Manhattan",10280,101,31704,"MN25",1,10,26,2016-06-10,2017-06-22
79008,"Chansey","F",2013-01-01,"Pit Bull (or Mix)","Brooklyn",11210,317,786,"BK42",45,9,21,2016-06-10,2021-06-10
79009,"Chainz","M",2015-01-01,"Unknown","Staten Island",10304,501,40,"SI08",49,11,23,2016-06-10,2017-06-10
79010,"Chelsea","F",2004-02-01,"Labrador (or Crossbreed)","Brooklyn",11201,302,7,"BK09",33,7,26,2016-06-10,2017-06-10
79011,"Chefree","M",2015-02-01,"Airedale Terrier","Queens",11432,408,472,"QN06",24,5,14,2016-06-10,2017-06-21
79012,"Charlie","M",2009-11-01,"Unknown","Brooklyn",11222,301,589,"BK76",33,12,26,2016-06-10,2017-05-28
79013,"Charlie","M",2016-02-01,"Morkie","Bronx",10458,206,389,"BX06",15,15,33,2016-06-10,2017-06-10
79014,"Charlie","M",2012-06-01,"Bull Dog, English","Queens",11693,414,94203,"QN12",32,5,15,2016-06-10,2017-06-19
79015,"Isis","F",2015-04-01,"Chihuahua","Queens",11379,405,679,"QN21",29,6,16,2016-06-10,2017-06-29
79016,"Jackie","F",2003-04-01,"Unknown","Queens",11385,405,585,"QN20",30,6,15,2016-06-10,2017-08-05
79017,"Jackie","F",2003-01-01,"Unknown","Manhattan",10026,110,216,"MN11",9,13,30,2016-06-10,2017-07-30
79018,"Jacques","M",2014-11-01,"French Bulldog","Brooklyn",11216,308,315,"BK61",36,8,25,2016-06-10,2017-01-16
79019,"Jade","F",2004-01-01,"Poodle, Standard","Bronx",10458,207,413,"BX05",11,13,34,2016-06-10,2017-06-29
79020,"Jake","M",2004-01-01,"Bichon Frise","Queens",11103,401,153,"QN70",26,14,12,2016-06-10,2017-07-30
79021,"Mia","F",2015-02-01,"Labrador (or Crossbreed)","Manhattan",10035,111,194,"MN34",8,13,30,2016-06-10,2017-07-15
79022,"Mia","F",2007-01-01,"Pit Bull (or Mix)","Manhattan",10026,110,216,"MN11",9,13,30,2016-06-10,2017-04-22
79023,"Melody","F",2015-03-01,"Labrador (or Crossbreed)","Brooklyn",11237,304,421,"BK78",37,7,18,2016-06-10,2017-05-31
79024,"Melo","M",2012-01-01,"Maltese","Brooklyn",11215,306,133,"BK37",39,7,25,2016-06-10,2017-07-10
79025,"Maxwell","M",2006-01-01,"Pekingese","Brooklyn",11205,303,235,"BK69",33,8,25,2016-06-10,2017-06-29
79026,"Maxx","M",2016-01-01,"Coonhound, Treeing Walker","Staten Island",10314,501,147,"SI07",50,11,24,2016-06-10,2017-06-10
79027,"Sammie","F",2008-01-01,"Unknown","Manhattan",10009,106,44,"MN50",4,12,27,2016-06-10,2017-05-01
79028,"Santino","M",2016-02-01,"Chihuahua","Manhattan",10011,104,99,"MN13",3,10,27,2016-06-10,2017-06-10
79029,"Sandy","F",2007-01-01,"Golden Retriever","Queens",11370,401,317,"QN72",22,14,13,2016-06-10,2017-06-29
79030,"Sadie","F",2015-01-01,"Yorkshire Terrier","Brooklyn",11231,306,63,"BK33",39,7,26,2016-06-10,2017-04-29
79031,"Sadie","F",2009-03-01,"Unknown","Brooklyn",11207,305,1152,"BK82",37,8,19,2016-06-10,2017-03-12
79032,"Sadie","F",2011-11-01,"Golden Retriever","Manhattan",10075,108,130,"MN40",4,12,28,2016-06-10,2018-08-07
79033,"Rusty","M",2010-02-01,"Unknown","Brooklyn",11207,305,1152,"BK82",37,8,19,2016-06-10,2017-05-12
79034,"Salvatore","M",2011-01-01,"Staffordshire Bull Terrier","Manhattan",10075,108,132,"MN31",5,12,28,2016-06-10,2021-08-05
79035,"Saki","M",2009-10-01,"German Shepherd Dog","Queens",11364,411,129104,"QN42",23,6,16,2016-06-10,2017-07-08
79036,"Ruby","F",2015-08-01,"Maltese","Queens",11427,413,1301,"QN43",23,3,14,2016-06-10,2017-06-10
79037,"Mikkie","M",2010-10-01,"Shih Tzu","Brooklyn",11229,315,59401,"BK17",48,9,19,2016-06-10,2017-08-02
79038,"Rupee","F",2012-02-01,"Labrador (or Crossbreed)","Brooklyn",11201,302,7,"BK09",33,7,26,2016-06-10,2017-06-10
79039,"Rusty","F",2012-03-01,"Australian Cattledog","Queens",11367,408,809,"QN37",24,6,15,2016-06-10,2017-07-19
79040,"Jay-Jay","M",2004-02-01,"Shih Tzu","Queens",11105,401,97,"QN72",22,14,12,2016-06-10,2017-07-03
79041,"Jay","M",2013-04-01,"Labrador (or Crossbreed)","Staten Island",10314,NA,NA,NA,NA,NA,NA,2016-06-10,2017-05-21
79042,"Jazz","M",2002-01-01,"Poodle, Standard","Brooklyn",11229,315,564,"BK44",48,9,19,2016-06-10,2017-07-30
79043,"Jeeves","F",2006-11-01,"Bassett Hound","Brooklyn",11215,306,141,"BK37",39,7,21,2016-06-10,2017-08-04
79044,"Coby","M",2011-02-01,"Yorkshire Terrier","Manhattan",10039,110,234,"MN03",9,13,30,2016-06-10,2017-07-07
79045,"Coco","F",2002-01-01,"Unknown","Queens",11364,411,1403,"QN46",23,6,11,2016-06-10,2017-06-29
79046,"Coco","F",2013-02-01,"Morkie","Queens",11361,411,1441,"QN46",19,6,11,2016-06-10,2017-07-10
79047,"Coco","F",2003-11-01,"Pekingese","Queens",11365,408,1341,"QN41",24,6,11,2016-06-10,2017-04-29
79048,"Coco","M",2008-12-01,"Unknown","Staten Island",10314,502,27704,"SI24",50,11,24,2016-06-10,2017-04-30
79049,"Coco","F",2005-06-01,"Chihuahua","Manhattan",10027,110,200,"MN11",9,13,30,2016-06-10,2018-08-05
79050,"Coco","F",2010-05-01,"Shih Tzu","Bronx",10465,210,162,"BX52",13,14,34,2016-06-10,2017-06-22
79051,"Cinnamon","F",2007-07-01,"Chihuahua","Manhattan",10017,106,88,"MN19",4,12,28,2016-06-10,2017-07-08
79052,"Cleo","F",2013-02-01,"Yorkshire Terrier","Staten Island",10312,503,17005,"SI01",51,11,24,2016-06-10,2017-07-18
79053,"Cici","F",2014-05-01,"Unknown","Brooklyn",11218,307,500,"BK40",39,9,21,2016-06-10,2017-07-02
79054,"Cinnamon","F",2016-01-01,"Pit Bull (or Mix)","Brooklyn",11206,303,25902,"BK75",36,8,18,2016-06-10,2017-06-10
79055,"Churchill","M",2003-01-01,"Poodle, Miniature","Manhattan",10022,106,10601,"MN19",5,12,28,2016-06-10,2017-07-30
79056,"Chrissy","F",2005-01-01,"Pomeranian","Manhattan",10019,104,139,"MN15",3,10,27,2016-06-10,2017-07-30
79057,"Chino","M",2001-03-01,"Pit Bull (or Mix)","Manhattan",10025,107,177,"MN12",6,10,30,2016-06-10,2017-06-29
79058,"Chloe","F",2003-11-01,"Pug","Queens",11367,407,80302,"QN62",24,6,16,2016-06-10,2017-06-10
79059,"Chloe","F",2007-10-01,"Unknown","Bronx",10465,210,144,"BX52",13,14,34,2016-06-10,2017-07-30
79060,"Chorizo","M",2016-03-01,"Chihuahua Crossbreed","Brooklyn",11225,309,213,"BK63",35,9,21,2016-06-10,2017-06-10
79061,"Chloie","F",2012-11-01,"Unknown","Manhattan",10032,112,247,"MN36",7,13,31,2016-06-10,2017-07-24
79062,"Chloe","F",2014-05-01,"Unknown","Brooklyn",11218,307,500,"BK40",39,9,21,2016-06-10,2017-06-25
79063,"Chloe","F",2011-12-01,"Terrier Mix","Manhattan",10128,108,14602,"MN32",5,12,28,2016-06-10,2017-05-30
79064,"Juliette","F",2001-03-01,"English Cocker Spaniel","Manhattan",10024,107,175,"MN12",6,10,31,2016-06-10,2017-04-28
79065,"Kabbie","M",2008-04-01,"Shih Tzu","Bronx",10468,207,411,"BX05",11,13,34,2016-06-10,2017-09-03
79066,"Milo","M",2006-01-01,"Puggle","Brooklyn",11229,315,59401,"BK17",48,9,19,2016-06-10,2017-07-30
79067,"John","M",2008-01-01,"Yorkshire Terrier","Brooklyn",11235,313,36001,"BK19",48,8,23,2016-06-10,2017-07-07
79068,"John","M",2006-05-01,"Shiba Inu","Manhattan",10036,104,121,"MN15",3,10,27,2016-06-10,2017-06-17
79069,"Joey","M",2012-04-01,"Bassett Hound","Bronx",10468,207,411,"BX05",11,13,34,2016-06-10,2017-06-10
79070,"Joey","M",2011-03-01,"Maltese","Queens",11419,409,110,"QN54",28,5,10,2016-06-10,2021-06-04
79071,"Jorge","M",2008-01-01,"Beagle","Manhattan",10044,108,23801,"MN31",5,12,29,2016-06-10,2017-05-15
79072,"Jiggs","M",2003-01-01,"Brittany Spaniel","Staten Island",10305,501,8,"SI37",49,11,23,2016-06-10,2017-07-30
79073,"Jimmy","M",2005-01-01,"Labrador (or Crossbreed)","Queens",11412,412,384,"QN08",27,5,14,2016-06-10,2017-05-30
79074,"Jingles","F",2003-01-01,"Beagle","Staten Island",10309,503,198,"SI01",51,11,24,2016-06-10,2017-06-29
79075,"Mindy","F",2011-04-01,"Weimaraner","Queens",11422,413,638,"QN05",31,5,14,2016-06-10,2017-07-05
79076,"Mitts","M",2009-07-01,"Pit Bull (or Mix)","Manhattan",10034,112,303,"MN01",10,13,31,2016-06-10,2019-05-13
79077,"Missy","F",2008-06-01,"Yorkshire Terrier","Bronx",10472,209,56,"BX08",18,15,32,2016-06-10,2017-06-10
79078,"Mocha","M",2011-11-01,"Unknown","Queens",11372,403,277,"QN28",21,14,13,2016-06-10,2017-06-10
79079,"Molly","F",2009-12-01,"Unknown","Brooklyn",11238,302,181,"BK68",35,8,25,2016-06-10,2017-07-23
79080,"Molly","F",2016-02-01,"Miniature American Shepherd","Brooklyn",11201,302,11,"BK38",33,8,25,2016-06-10,2017-06-10
79081,"Schatzi","F",2014-06-01,"Australian Shepherd","Brooklyn",11249,301,555,"BK73",34,12,18,2016-06-10,2017-06-10
79082,"Savannah","F",2007-09-01,"Unknown","Manhattan",10024,107,175,"MN12",6,10,31,2016-06-10,2017-08-01
79083,"Molly","M",2016-03-01,"Maltese Crossbreed","Queens",11368,404,407,"QN26",21,14,13,2016-06-10,2017-06-10
79084,"Scotty","M",2004-07-01,"Cairn Terrier","Brooklyn",11215,306,157,"BK37",39,9,20,2016-06-10,2017-07-18
79085,"Scrappy","M",2005-11-01,"Welsh Corgi, Pembroke","Staten Island",10306,503,13204,"SI25",51,11,24,2016-06-10,2017-08-07
79086,"Seal","M",2011-11-01,"Labrador (or Crossbreed)","Bronx",10469,211,326,"BX31",13,14,34,2016-06-10,2018-05-24
79087,"Sesame","F",2011-04-01,"Bull Dog, French","Manhattan",10013,102,45,"MN24",1,10,26,2016-06-10,2017-06-18
79088,"Silver","M",2002-01-01,"Siberian Husky","Manhattan",10003,102,59,"MN23",2,12,27,2016-06-10,2017-02-11
79089,"Shyla","F",2006-10-01,"Labrador (or Crossbreed)","Staten Island",10306,502,11202,"SI45",50,11,24,2016-06-10,2018-05-31
79090,"Sidney",NA,2003-01-01,"Shih Tzu","Queens",11358,407,1147,"QN51",19,6,11,2016-06-10,2017-07-30
79091,"Simba","M",2012-01-01,"Schnauzer, Miniature","Queens",11372,403,291,"QN28",25,14,13,2016-06-10,2017-07-03
79092,"Shelly","F",2011-01-01,"Unknown","Staten Island",10314,501,18901,"SI07",50,11,24,2016-06-10,2017-07-06
79093,"Sherlock","M",2012-10-01,"Boston Terrier","Manhattan",10024,107,169,"MN12",6,10,29,2016-06-10,2017-07-23
79094,"Sheba","F",2015-09-01,"German Shepherd Dog","Queens",11691,414,103202,"QN15",31,5,15,2016-06-10,2017-06-10
79095,"Sheryl","F",2004-11-01,"Chihuahua","Manhattan",10019,104,139,"MN15",3,10,27,2016-06-10,2017-03-23
79096,"Shakira","F",2014-01-01,"Chihuahua","Bronx",10469,211,324,"BX07",13,14,34,2016-06-10,2017-07-08
79097,"Shana","F",2005-11-01,"Shih Tzu","Brooklyn",11232,307,84,"BK32",38,7,20,2016-06-10,2017-04-29
79098,"Shea","F",2014-12-01,"Unknown","Staten Island",10306,503,13204,"SI25",51,11,24,2016-06-10,2017-08-25
79099,"Hank","M",2009-03-01,"Havanese","Manhattan",10022,106,108,"MN19",4,12,28,2016-06-10,2017-08-05
79100,"Hannah","F",2008-05-01,"Yorkshire Terrier","Brooklyn",11225,309,325,"BK63",35,9,20,2016-06-10,2017-06-29
79101,"Happy","M",2015-02-01,"Maltese","Brooklyn",11214,311,296,"BK28",47,11,23,2016-06-10,2017-06-22
79102,"Bobo","M",2014-01-01,"Yorkshire Terrier","Queens",11367,407,80302,"QN62",24,6,16,2016-06-10,2017-06-30
79103,"Bones","M",2008-04-01,"Unknown","Bronx",10465,210,118,"BX52",13,14,34,2016-06-10,2017-07-06
79104,"Bonnaparte","M",2000-11-01,"Papillon","Manhattan",10021,108,128,"MN40",4,12,28,2016-06-10,2017-07-30
79105,"Bodhisatta","M",2007-01-01,"Labrador (or Crossbreed)","Manhattan",10025,109,205,"MN09",7,10,30,2016-06-10,2017-07-30
79106,"Gus","M",2009-12-01,"Bulldog","Manhattan",10014,102,73,"MN23",3,10,27,2016-06-10,2017-08-03
79107,"Blizzard","M",2014-06-01,"Labrador (or Crossbreed)","Staten Island",10306,NA,NA,NA,NA,NA,NA,2016-06-10,2017-07-30
79108,"Binx","M",2009-01-01,"Bull Dog, French","Manhattan",10014,102,73,"MN23",3,10,27,2016-06-10,2017-05-20
79109,"Biscuit","M",2005-01-01,"Unknown","Staten Island",10314,501,18901,"SI07",50,11,24,2016-06-10,2017-05-30
79110,"Max","M",1999-01-01,"Yorkshire Terrier","Queens",11004,413,157901,"QN44",23,3,11,2016-06-10,2017-07-30
79111,"Mase","M",2015-05-01,"French Bulldog","Brooklyn",11224,313,354,"BK23",48,8,23,2016-06-10,2017-08-07
79112,"Marty","M",2008-10-01,"Jack Russell Terrier","Brooklyn",11229,315,584,"BK25",48,11,19,2016-06-10,2017-08-06
79113,"Marx","M",2016-03-01,"Miniature American Shepherd","Manhattan",10010,105,54,"MN13",3,12,28,2016-06-10,2017-06-10
79114,"Marshall","M",2013-09-01,"Shih Tzu","Manhattan",10002,103,1402,"MN28",1,12,26,2016-06-10,2017-08-09
79115,"Marley","F",2016-04-01,"Yorkshire Terrier","Brooklyn",11207,305,1156,"BK85",42,8,19,2016-06-10,2017-06-10
79116,"Magnus","M",2013-09-01,"Brittany Spaniel","Manhattan",10065,108,122,"MN40",4,12,28,2016-06-10,2017-07-17
79117,"Mango","M",2015-01-01,"Welsh Corgi, Pembroke","Queens",11368,403,407,"QN26",21,14,13,2016-06-10,2017-05-31
79118,"Marcus","M",2002-01-01,"Labrador (or Crossbreed)","Staten Island",10309,503,20801,"SI32",51,11,24,2016-06-10,2017-07-12
79119,"Henry","M",2014-01-01,"Shih Tzu","Brooklyn",11225,NA,NA,NA,NA,NA,NA,2016-06-10,2017-07-18
79120,"Herbie","M",2009-06-01,"Unknown","Queens",11417,410,54,"QN56",32,8,15,2016-06-10,2017-07-11
79121,"Harvard","M",2006-06-01,"Papillon","Bronx",10455,NA,NA,NA,NA,NA,NA,2016-06-10,2017-06-10
79122,"Haru","F",2014-11-01,"Boston Terrier","Manhattan",10011,102,63,"MN23",3,10,27,2016-06-10,2017-07-22
79123,"Haylee","F",2009-07-01,"Pit Bull (or Mix)","Brooklyn",11233,316,373,"BK79",41,8,25,2016-06-10,2017-06-10
79124,"Hazel","F",2010-01-01,"Unknown","Queens",11417,410,54,"QN56",32,8,15,2016-06-10,2017-07-11
79125,"Hollebelle","F",2010-04-01,"Boston Terrier","Manhattan",10025,107,177,"MN12",6,10,30,2016-06-10,2017-07-13
79126,"Magda","F",2004-01-01,"American Staffordshire Terrier","Brooklyn",11225,309,79801,"BK60",40,9,20,2016-06-10,2017-05-07
79127,"Tyson","F",2010-04-01,"Chihuahua","Manhattan",10027,109,211,"MN09",7,13,30,2016-06-10,2017-06-11
79128,"Tyler","M",2013-03-01,"Shih Tzu Crossbreed","Manhattan",10039,110,236,"MN03",9,13,30,2016-06-10,2017-06-22
79129,"Un","M",2007-01-01,"Golden Retriever","Manhattan",10003,103,38,"MN22",2,12,27,2016-06-10,2017-06-29
79130,"Tulip","F",2005-11-01,"Shih Tzu","Brooklyn",11209,305,1078,"BK82",42,8,19,2016-06-10,2017-07-12
79131,"Tucker","M",2008-10-01,"Australian Shepherd","Staten Island",10304,501,33,"SI08",49,11,23,2016-06-10,2017-08-09
79132,"Unknown","F",2016-03-01,"Dachshund","Queens",11021,NA,NA,NA,NA,NA,NA,2016-06-10,2017-06-10
79133,"Riley","F",2015-05-01,"Australian Cattle Dog","Bronx",10463,208,277,"BX28",14,13,33,2016-06-10,2017-08-07
79134,"Rio","M",2004-01-01,"Labrador (or Crossbreed)","Queens",11375,406,723,"QN17",29,6,15,2016-06-10,2017-06-29
79135,"Rex","M",2014-05-01,"Unknown","Brooklyn",11222,301,575,"BK76",33,12,26,2016-06-10,2017-07-24
79136,"Riddle","F",2014-09-01,"Treeing Walker Coonhound","Manhattan",10065,108,11402,"MN40",4,12,28,2016-06-10,2016-12-10
79137,"Trili","F",2008-08-01,"Unknown","Queens",11377,401,297,"QN63",26,14,13,2016-06-10,2017-06-20
79138,"Travis","M",2016-02-01,"American Staffordshire Terrier","Bronx",10473,209,98,"BX59",18,15,34,2016-06-10,2017-06-10
79139,"Torko","M",2015-08-01,"Pit Bull (or Mix)","Queens",11691,414,103202,"QN15",31,5,15,2016-06-10,2017-06-10
79140,"Queeny","F",2016-02-01,"Poodle Crossbreed","Brooklyn",11211,301,513,"BK73",34,7,18,2016-06-10,2017-06-10
79141,"Remy","M",2011-09-01,"Jack Russell Terrier","Brooklyn",11217,302,33,"BK68",35,8,25,2016-06-10,2017-07-25
79142,"Rex","M",2009-01-01,"Unknown","Manhattan",10280,101,31704,"MN25",1,10,26,2016-06-10,2017-06-22
79143,"Rex","M",2015-02-01,"Yorkshire Terrier","Queens",11357,407,991,"QN49",19,3,11,2016-06-10,2017-04-23
79144,"Reese","F",2008-08-01,"Shih Tzu Crossbreed","Manhattan",10024,107,169,"MN12",6,10,29,2016-06-10,2017-06-10
79145,"Luna","F",2006-01-01,"Unknown","Staten Island",10309,503,20801,"SI32",51,11,24,2016-06-10,2017-07-30
79146,"Luther","M",2011-02-01,"Australian Shepherd","Brooklyn",11209,310,50,"BK31",43,11,22,2016-06-10,2017-05-28
79147,"Luna","F",2015-08-01,"Maltese Crossbreed","Queens",11379,405,65703,"QN21",30,6,15,2016-06-10,2017-06-10
79148,"Luna","F",2016-03-01,"Miniature American Shepherd","Manhattan",10024,107,173,"MN12",6,10,30,2016-06-10,2017-06-10
79149,"Lucy","F",2013-04-01,"Labrador (or Crossbreed)","Manhattan",10009,106,44,"MN50",4,12,27,2016-06-10,2019-05-25
79150,"Lucy","F",2015-12-01,"French Bulldog","Manhattan",10036,104,127,"MN15",3,10,27,2016-06-10,2017-06-10
79151,"Lucy","F",2013-12-01,"Havanese","Manhattan",10003,102,59,"MN23",2,12,27,2016-06-10,2017-07-10
79152,"Lucy","F",2000-01-01,"Shih Tzu","Manhattan",10028,108,14802,"MN40",4,12,28,2016-06-10,2017-06-29
79153,"Lucky","M",2009-01-01,"Chihuahua","Queens",11414,410,6202,"QN57",32,8,15,2016-06-10,2017-05-12
79154,"Elvis","M",2003-12-01,"Poodle, Standard","Staten Island",10310,501,151,"SI07",49,11,24,2016-06-10,2017-06-18
79155,"Eliza","F",2014-12-01,"Tibetan Terrier","Manhattan",10011,105,54,"MN13",3,12,27,2016-06-10,2017-06-10
79156,"Eddie","M",2003-01-01,"Pekingese","Brooklyn",11205,303,235,"BK69",33,8,25,2016-06-10,2017-06-29
79157,"Egypt","M",2012-11-01,"Unknown","Bronx",10452,205,21301,"BX36",14,15,29,2016-06-10,2017-06-24
79158,"Baxter","M",2015-01-01,"Beagle","Staten Island",10305,501,8,"SI37",49,11,23,2016-06-10,2017-06-10
79159,"Baymax","M",2016-03-01,"Maltese Crossbreed","Brooklyn",11215,306,151,"BK37",39,9,21,2016-06-10,2017-06-10
79160,"Bella","F",2006-03-01,"Yorkshire Terrier","Queens",11385,405,63301,"QN19",30,6,15,2016-06-10,2017-07-30
79161,"Bella","F",2004-02-01,"Yorkshire Terrier","Manhattan",10028,108,136,"MN32",5,12,28,2016-06-10,2017-08-03
79162,"Bella","F",2004-11-01,"Terrier Mix","Staten Island",10310,501,151,"SI07",49,11,24,2016-06-10,2018-06-10
79163,"Duke","M",2008-01-01,"Labrador (or Crossbreed)","Brooklyn",11226,314,51002,"BK42",40,9,21,2016-06-10,2017-05-20
79164,"Duke","M",2015-10-01,"Miniature Schnauzer","Queens",11421,409,12,"QN53",30,7,12,2016-06-10,2018-06-10
79165,"Dulsiniya","F",2012-03-01,"Bull Dog, French","Brooklyn",11224,313,350,"BK23",48,8,23,2016-06-10,2017-07-25
79166,"Draco","M",2012-11-01,"Pembroke Welsh Corgi","Brooklyn",11206,301,511,"BK90",34,7,18,2016-06-10,2017-06-10
79167,"Duke","M",2011-01-01,"Unknown","Manhattan",10013,101,33,"MN24",1,10,26,2016-06-10,2017-04-21
79168,"Bella","F",2011-07-01,"Cocker Spaniel","Manhattan",10022,106,10601,"MN19",5,12,28,2016-06-10,2017-07-25
79169,"Belle","F",2008-02-01,"Yorkshire Terrier","Bronx",10465,210,144,"BX52",13,14,34,2016-06-10,2017-05-19
79170,"Prince","M",2005-01-01,"Yorkshire Terrier","Brooklyn",11233,316,363,"BK79",41,9,25,2016-06-10,2017-07-06
79171,"Princess","F",2014-07-01,"Terrier Mix","Brooklyn",11226,314,514,"BK42",40,9,21,2016-06-10,2018-06-10
79172,"Teddy","M",2008-05-01,"Portuguese Water Dog","Manhattan",10023,107,157,"MN14",6,10,27,2016-06-10,2017-05-18
79173,"Teddy","M",2010-12-01,"Unknown","Manhattan",10024,107,173,"MN12",6,10,29,2016-06-10,2017-07-27
79174,"Priscilla","F",2006-02-01,"Akita","Queens",11378,405,495,"QN30",30,6,15,2016-06-10,2017-07-17
79175,"Mack","M",2012-03-01,"Unknown","Staten Island",10308,503,15601,"SI54",51,11,24,2016-06-10,2017-08-06
79176,"Pippa","F",2012-06-01,"Dachshund, Long Haired Miniature","Queens",11104,402,25301,"QN31",26,14,12,2016-06-10,2017-07-11
79177,"Pip","F",2012-10-01,"Unknown","Manhattan",10038,101,1501,"MN25",1,10,26,2016-06-10,2021-06-13
79178,"Piper","F",2005-01-01,"Shih Tzu","Manhattan",10003,102,61,"MN23",2,12,27,2016-06-10,2017-07-30
79179,"Piggy","F",2013-01-01,"Chihuahua","Manhattan",10036,104,129,"MN15",3,10,27,2016-06-10,2017-06-10
79180,"Piff","M",2006-01-01,"Unknown","Staten Island",10304,501,29,"SI37",49,11,23,2016-06-10,2017-06-29
79181,"Maddy","F",2010-08-01,"Boxer","Manhattan",10038,101,1501,"MN25",1,10,26,2016-06-10,2017-07-16
79182,"Pokey","F",2004-02-01,"German Shepherd Crossbreed","Queens",11001,413,157903,"QN44",23,3,11,2016-06-10,2017-08-04
79183,"Pistachio","M",2014-04-01,"Australian Shepherd","Queens",11104,402,183,"QN31",26,14,12,2016-06-10,2017-07-06
79184,"Precious","F",2007-01-01,"Shih Tzu","Brooklyn",11206,301,491,"BK90",34,7,18,2016-06-10,2017-06-29
79185,"Tiki","F",2013-02-01,"Pit Bull (or Mix)","Brooklyn",11223,311,408,"BK29",47,10,22,2016-06-10,2017-06-10
79186,"Tiny","F",2005-01-01,"Miniature Pinscher","Brooklyn",11229,315,632,"BK17",46,9,22,2016-06-10,2017-06-29
79187,"Titan","M",2012-05-01,"Jack Russell Terrier","Queens",11106,401,51,"QN68",26,12,12,2016-06-10,2016-09-28
79188,"Toby","M",2016-03-01,"French Bulldog","Manhattan",10023,107,153,"MN14",6,10,27,2016-06-10,2017-06-10
79189,"Toby","M",2010-04-01,"Dachshund, Long Haired Miniature","Manhattan",10014,102,75,"MN23",3,10,27,2016-06-10,2017-07-26
79190,"Toby","M",2012-03-01,"Shiba Inu","Queens",11421,409,20,"QN53",32,7,10,2016-06-10,2018-06-09
79191,"Tobi","M",2006-01-01,"Unknown","Manhattan",10038,101,1502,"MN25",1,10,26,2016-06-10,2017-07-30
79192,"Toastie","F",2012-01-01,"Yorkshire Terrier","Manhattan",10027,109,211,"MN09",7,13,30,2016-06-10,2017-08-07
79193,"Tj","M",2016-03-01,"Shih Tzu","Manhattan",10012,102,49,"MN24",3,10,26,2016-06-10,2017-06-10
79194,"Terry","M",2010-02-01,"Boston Terrier","Manhattan",10038,103,27,"MN27",1,7,26,2016-06-10,2017-05-28
79195,"Terry","M",2013-03-01,"Bichon Frise","Manhattan",10033,112,275,"MN35",10,13,31,2016-06-10,2017-04-19
79196,"Thor","M",2009-01-01,"Unknown","Manhattan",10065,108,122,"MN40",4,12,28,2016-06-10,2017-07-22
79197,"Sophie","F",2004-07-01,"Labrador (or Crossbreed)","Manhattan",10023,107,153,"MN14",6,10,27,2016-06-10,2017-04-30
79198,"Sophie","F",2005-01-01,"Unknown","Bronx",10471,208,30701,"BX22",11,16,34,2016-06-10,2017-07-30
79199,"Snipper","M",2014-04-01,"Jack Russell Terrier","Manhattan",10014,102,73,"MN23",3,10,27,2016-06-10,2017-05-26
79200,"Snowball","M",2009-04-01,"Poodle, Miniature","Queens",11411,413,614,"QN33",27,5,14,2016-06-10,2017-05-14
79201,"Snow","M",2008-05-01,"West High White Terrier","Staten Island",10310,501,121,"SI35",49,11,24,2016-06-10,2017-08-05
79202,"Snowball","F",2001-01-01,"Bichon Frise","Queens",11367,408,809,"QN37",24,6,16,2016-06-10,2017-07-30
79203,"Skippy","M",2006-10-01,"Shiba Inu","Brooklyn",11228,310,166,"BK30",43,11,22,2016-06-10,2017-03-24
79204,"Skippy","M",2007-01-01,"Japanese Chin/Spaniel","Bronx",10472,209,70,"BX55",18,15,32,2016-06-10,2017-04-08
79205,"Skipper","M",2005-01-01,"Puli","Queens",11421,409,12,"QN53",32,7,15,2016-06-10,2017-06-29
79206,"Sin","M",2000-01-01,"Labrador (or Crossbreed)","Manhattan",10036,104,121,"MN15",3,10,27,2016-06-10,2017-06-10
79207,"Paige","F",2015-07-01,"Pit Bull (or Mix)","Queens",11365,411,1417,"QN48",20,6,16,2016-06-10,2017-06-10
79208,"Pablo","M",2014-03-01,"Havanese","Manhattan",10021,108,130,"MN40",4,12,28,2016-06-10,2017-07-29
79209,"Pablo","M",2011-01-01,"Pug","Manhattan",10021,108,132,"MN31",5,12,28,2016-06-10,2017-06-09
79210,"Griffin","M",2015-04-01,"American Staffordshire Terrier","Brooklyn",11236,318,984,"BK50",46,8,19,2016-06-10,2017-07-15
79211,"Oberon","M",2005-12-01,"Poodle, Standard","Queens",11375,406,71306,"QN17",29,6,16,2016-06-10,2017-08-08
79212,"Gucci","M",2010-11-01,"Pit Bull (or Mix)","Brooklyn",11207,305,1106,"BK82",42,8,19,2016-06-10,2017-06-10
79213,"Nugget","M",2016-02-01,"Labrador (or Crossbreed)","Queens",11375,406,729,"QN17",29,6,15,2016-06-10,2017-06-10
79214,"Nugget","M",2012-04-01,"Shih Tzu","Manhattan",10016,106,78,"MN20",4,12,28,2016-06-10,2017-06-22
